FLH_1,FLH_2,FLK_1,FLK_2,FLA_1,FLA_2,FRH_1,FRH_2,FRK_1,FRK_2,FRA_1,FRA_2,RLH_1,RLH_2,RLK_1,RLK_2,RLA_1,RLA_2,RRH_1,RRH_2,RRK_1,RRK_2,RRA_1,RRA_2,FS_1,FS_2,RS_1,RS_2,FLT,FRT,RLT,RRT
-0.984648279,0,-1.698784051,0,0.01291173,0,-0.861377634,0,-2.541529847,0,-1.192300633,0,-1.013981473,0,-2.463981445,0,-1.061150762,0,-0.965526708,0,-2.427470646,0,-1.097719416,0,0,0,0,0,1,1,1,1
-0.981005965,0,-1.6454811,0,-0.072353141,0,-0.853314718,0,-2.485195752,0,-1.164043708,0,-1.012085891,0,-2.453025202,0,-1.069178693,0,-0.965361809,0,-2.429897349,0,-1.254577921,0,0,0,0,0,1,1,1,1
-0.984260333,0,-1.69280102,0,-0.086455342,0,-0.849717072,0,-2.45670732,0,-1.184873393,0,-1.011899015,0,-2.452042506,0,-0.975873131,0,-0.968416145,0,-2.482843383,0,-1.30037513,0,0,0,0,0,1,1,1,1
-0.98212094,0,-1.760117196,0,-0.114287088,0,-0.847906319,0,-2.44114712,0,-1.197570387,0,-1.01193868,0,-2.452235506,0,-0.877432052,0,-0.970139944,0,-2.472484734,0,-1.469240347,0,0,0,0,0,1,1,1,1
-0.979557257,0,-1.821079406,0,-0.153735405,0,-0.846928286,0,-2.432295642,0,-1.205169948,0,-1.010992617,0,-2.447872214,0,-0.779402925,0,-0.971261746,0,-2.46856392,0,-1.62277256,0,0,0,0,0,1,1,0,1
-0.976924702,0,-1.88173578,0,-0.200505182,0,-0.846377189,0,-2.427144814,0,-1.209711305,0,-1.008385361,0,-2.436217724,0,-0.683539742,0,-0.973329931,0,-2.463948045,0,-1.769750699,0,0,0,0,0,1,1,0,1
-0.974200514,0,-1.942054985,0,-0.255464677,0,-0.846058633,0,-2.424108002,0,-1.212428542,0,-1.003935404,0,-2.416577718,0,-0.589399474,0,-0.978020313,0,-2.457105039,0,-1.911098995,0,0,0,0,0,1,1,0,1
-0.971358032,0,-2.001684391,0,-0.318427495,0,-0.845871638,0,-2.422303793,0,-1.214056596,0,-0.997728453,0,-2.389099646,0,-0.496044146,0,-0.986951919,0,-2.448690531,0,-2.044332092,0,0,0,0,0,1,1,0,1
-0.968385646,0,-2.060192774,0,-0.388970874,0,-0.845760846,0,-2.421227014,0,-1.215033058,0,-0.989951097,0,-2.354066988,0,-0.402770925,0,-1.006982003,0,-2.459121362,0,-2.09962468,0,0,0,0,0,1,1,0,1
-0.965293786,0,-2.117098739,0,-0.466472527,0,-0.845694835,0,-2.420582638,0,-1.215619113,0,-0.98083398,0,-2.311699146,0,-0.309180634,0,-1.036520615,0,-2.484805229,0,-2.110055512,0,0,0,0,0,1,1,0,1
-0.962124325,0,-2.171899884,0,-0.550117305,0,-0.845655374,0,-2.4201964,0,-1.215971004,0,-0.966540747,0,-2.245242146,0,-0.323021686,0,-1.034341311,0,-2.486782781,0,-2.094165741,0,0,0,0,0,1,1,0,1
-0.964454118,0,-2.210859133,0,-0.635522071,0,-0.845631735,0,-2.419964666,0,-1.216182349,0,-0.952446433,0,-2.180234176,0,-0.331141169,0,-1.018456864,0,-2.506400622,0,-2.004856452,0,0,0,0,0,1,1,0,1
-0.962003186,0,-2.270140748,0,-0.719747993,0,-0.845617558,0,-2.419825551,0,-1.216309305,0,-0.938563028,0,-2.116853152,0,-0.344557448,0,-0.99702077,0,-2.548937123,0,-1.853867203,0,0,0,0,0,1,1,0,1
-0.963072948,0,-2.298790553,0,-0.832756084,0,-0.845609049,0,-2.419742007,0,-1.216385574,0,-0.924815742,0,-2.05476374,0,-0.362973441,0,-0.981003838,0,-2.616143442,0,-1.621709629,0,0,0,0,0,1,1,0,0
-0.96149351,0,-2.356352203,0,-0.907305305,0,-0.84560394,0,-2.419691826,0,-1.216431396,0,-0.91114952,0,-1.993640506,0,-0.38594364,0,-0.980434909,0,-2.623270643,0,-1.397247056,0,0,0,0,0,1,1,0,0
-0.961418881,0,-2.371952166,0,-1.045379462,0,-0.845600871,0,-2.41966168,0,-1.216458927,0,-0.897532792,0,-1.933196928,0,-0.413062329,0,-0.981573678,0,-2.584840256,0,-1.282454552,0,0,0,0,0,1,1,1,1
-0.961614654,0,-2.427355474,0,-1.106192069,0,-0.845599028,0,-2.419643569,0,-1.216475468,0,-0.883958026,0,-1.873191256,0,-0.443953344,0,-0.982292612,0,-2.528000319,0,-1.208894021,0,0,0,0,0,1,1,1,1
-0.9614848,0,-2.429136363,0,-1.26379202,0,-0.845597921,0,-2.419632688,0,-1.216485407,0,-0.870443905,0,-1.813433173,0,-0.478246201,0,-0.982716938,0,-2.464861642,0,-1.153139101,0,0,0,0,0,1,1,1,1
-0.964748727,0,-2.482126188,0,-1.308351804,0,-0.845597255,0,-2.41962615,0,-1.216491379,0,-0.86984766,0,-1.810662776,0,-0.539901589,0,-0.983253394,0,-2.446418075,0,-1.185158174,0,0,0,0,0,1,1,1,1
-0.966625975,0,-2.471282979,0,-1.477504489,0,-0.845596856,0,-2.419622222,0,-1.216494967,0,-0.874347228,0,-1.832415994,0,-0.584359523,0,-0.983488536,0,-2.440063979,0,-1.197088728,0,0,0,0,0,1,1,1,1
-0.967925898,0,-2.466890693,0,-1.631246507,0,-0.845596615,0,-2.419619862,0,-1.216497122,0,-0.872149332,0,-1.921922876,0,-0.579398383,0,-0.9835805,0,-2.437759717,0,-1.201503823,0,0,0,0,0,1,1,1,1
-0.97023548,0,-2.461898931,0,-1.778225289,0,-0.845596471,0,-2.419618444,0,-1.216498418,0,-0.875965558,0,-1.940957262,0,-0.629499189,0,-0.983615372,0,-2.436908896,0,-1.203145021,0,0,0,0,0,1,1,1,1
-0.975251273,0,-2.454815249,0,-1.919291227,0,-0.845596384,0,-2.419617592,0,-1.216499196,0,-0.872752626,0,-2.025174673,0,-0.638243817,0,-0.98362846,0,-2.436592666,0,-1.203756482,0,0,0,0,0,1,1,1,1
-0.984589083,0,-2.446321062,0,-2.051936811,0,-0.845596332,0,-2.41961708,0,-1.216499664,0,-0.875990368,0,-2.041910332,0,-0.693358927,0,-0.983633354,0,-2.436474844,0,-1.203984503,0,0,0,0,0,1,1,1,1
-1.005829159,0,-2.459432253,0,-2.097255212,0,-0.845596301,0,-2.419616772,0,-1.216499945,0,-0.872079162,0,-2.122078794,0,-0.71228737,0,-0.983635182,0,-2.436430905,0,-1.204069565,0,0,0,0,0,1,1,1,1
