Front Left,Front Right,Back Left,Back Right
[-1.0405168  -2.44341292 -1.06329221         inf],[-0.88351815 -2.37266302 -1.06422442         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.97498248 -1.75860565  0.13872774         inf]
"((-0.2926323530961331, -0.35369288799402393), -2.4433926783416022)","((0.1659993488223348, -0.200110509945282), -2.438413505276456)","((0.13416886146197654, -0.22270769320792883), -2.443263014536492)","((-0.26892308669012877, -0.33867899275742247), -1.708416975996558)"
[-1.04051651 -2.44339268 -1.06333007         inf],[-0.87830188 -2.43841351 -1.10104959         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.97205618 -1.70841698  0.02454062         inf]
"((-0.2926323261350361, -0.35369287218692147), -2.443387246673203)","((0.16612277319419141, -0.20000806040325284), -2.433352262179846)","((0.13416886146212706, -0.22270769320783815), -2.4432630145326)","((-0.26769227134503815, -0.3378359353401775), -1.6554004332130923)"
[-1.04051643 -2.44338725 -1.06334024         inf],[-0.87768494 -2.43335226 -1.18340135         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.96841749 -1.65540043 -0.08988697         inf]
"((-0.29292148943855306, -0.35386224786440934), -2.456157773655751)","((0.16601040539310052, -0.20010133757978335), -2.4393463617099878)","((0.13416886146220025, -0.22270769320779404), -2.44326301453071)","((-0.26877798907519945, -0.33857994870324404), -1.701931393022397)"
[-1.04133379 -2.45615777 -0.8543474          inf],[-0.87824662 -2.43934636 -1.25977029         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.97162769 -1.70193139 -0.10836452         inf]
"((-0.2928730298384221, -0.35383388508124086), -2.4547714769574065)","((0.16665422934430216, -0.19956544751448518), -2.5091259885312693)","((0.13416886146223586, -0.2227076932077726), -2.4432630145297916)","((-0.26805605763092794, -0.33808579916685727), -1.7696828056505014)"
[-1.04119684 -2.45477148 -0.6448929          inf],[-0.87502482 -2.50912599 -1.28459754         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.9694939  -1.76968281 -0.13480688         inf]
"((-0.2919479807282555, -0.35329075458742143), -2.432616951250539)","((0.16678951179607074, -0.19945239721504573), -2.4986258354142903)","((0.1341688614622531, -0.22270769320776224), -2.4432630145293457)","((-0.2671759993380093, -0.3374803471548311), -1.8304579686816647)"
[-1.03858048 -2.43261695 -0.44692501         inf],[-0.87434675 -2.49862584 -1.37197057         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.96688851 -1.83045797 -0.17548637         inf]
