Front Left,Front Right,Back Left,Back Right
"((-0.19581951979798395, -0.2749076853492294), -1.493877101934185)","((0.2070157627342775, -0.15730376339918042), -2.386664457984905)","((0.2097929312182364, -0.1535803568522366), -2.381017717521612)","((-0.1725201302052981, -0.24669198381634755), -1.4300686595174747)"
[-0.73489135 -1.4938771  -0.4473221          inf],[-0.64978405 -2.38666446 -1.59001176         inf],[-0.63191826 -2.38101772 -1.61404909         inf],[-0.64561249 -1.43006866 -0.82704002         inf]
"((-0.19580489537204532, -0.2748915028159068), -1.525890662576944)","((0.20673601987167958, -0.1576712341792773), -2.381184120731508)","((0.20940258083769048, -0.15411216414843606), -2.3741844110400954)","((-0.17239391469982512, -0.24652434539877502), -1.5678787516942316)"
[-0.73483815 -1.52589066 -0.58253961         inf],[-0.65156033 -2.38118412 -1.70856388         inf],[-0.63445553 -2.37418441 -1.73265768         inf],[-0.64510068 -1.56787875 -0.70631191         inf]
"((-0.19581291055585592, -0.2749003721632625), -1.6569709217703217)","((0.20617928210546754, -0.15839855943307699), -2.374389744537426)","((0.20868896031658457, -0.15507713513598), -2.3663396290657976)","((-0.17248961227578302, -0.2466514665124313), -1.6841346227856322)"
[-0.73486731 -1.65697092 -0.48485034         inf],[-0.65508321 -2.37438974 -1.82409763         inf],[-0.6390716  -2.36633963 -1.84779762         inf],[-0.64548877 -1.68413462 -0.64887633         inf]
"((-0.1955378027369693, -0.27459564897821553), -1.7574342897364614)","((0.2051149330596189, -0.15977441671290202), -2.3661118419788307)","((0.20741576863889563, -0.1567759513443823), -2.357453267886092)","((-0.17186643626195636, -0.24582181422439148), -1.708548057227632)"
[-0.733866   -1.75743429 -0.48176638         inf],[-0.66177356 -2.36611184 -1.93554629         inf],[-0.64723689 -2.35745327 -1.95830946         inf],[-0.64295797 -1.70854806 -0.82153265         inf]
"((-0.1955178343433936, -0.27457350709247763), -1.795181655292886)","((0.20248805056965877, -0.16309073970185833), -2.3675987296406715)","((0.2035703998381621, -0.16173772692149108), -2.3717515070134305)","((-0.1719558556874184, -0.24594112991166425), -1.831648108259592)"
[-0.73379327 -1.79518166 -0.62917262         inf],[-0.67804552 -2.36759873 -2.01704599         inf],[-0.67138142 -2.37175151 -2.00838742         inf],[-0.64332164 -1.83164811 -0.76587527         inf]
"((-0.1954340011743883, -0.2744805136241141), -1.908657300298672)","((0.19600703843497286, -0.17082517637617436), -2.405572204728143)","((0.1968507763015739, -0.16985220595996892), -2.4094569067263802)","((-0.17108379430453363, -0.24477362936169741), -1.8564053732085348)"
